,Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,WMA,MOM,SlowD,SlowK,MACD,MACD_Signal,MACD_Hist,ADOSC,CCI
0,1999-12-17,6.25,6.375,6.25,6.28125,3.141123,765200,52.1140,12.6553,12.5675,-0.4400,39.5994,48.8726,-0.1155,-0.0801,-0.0355,-187582.2256,-26.1457
1,1999-12-20,6.3125,6.34375,6.28125,6.3125,3.15675,471400,53.5151,12.6340,12.5631,-0.3200,49.6315,59.6636,-0.1056,-0.0852,-0.0204,-195197.3940,-10.4510
2,1999-12-21,6.3125,6.3125,6.25,6.25,3.125496,280400,50.3576,12.6047,12.5463,-0.4400,50.5271,51.4227,-0.1061,-0.0893,-0.0168,-225176.5635,-45.7341
3,1999-12-22,6.21875,6.34375,6.15625,6.25,3.125496,409800,50.3576,12.5880,12.5333,-0.2500,48.9147,47.3023,-0.1053,-0.0925,-0.0128,-216970.1725,-62.7796
4,1999-12-23,6.25,6.28125,6.125,6.21875,3.109867,472800,48.7081,12.5633,12.5147,-0.3700,45.7829,42.6511,-0.1083,-0.0957,-0.0126,-176903.7007,-105.5313
5,1999-12-27,6.21875,6.21875,6.0625,6.0625,3.031732,112400,41.0284,12.5127,12.4593,-0.7600,33.5542,21.3256,-0.1350,-0.1036,-0.0314,-162312.5349,-207.6462
6,1999-12-28,6.03125,6.15625,6.0,6.09375,3.047358,365800,43.1299,12.4667,12.4190,-0.6900,28.9926,24.4309,-0.1487,-0.1126,-0.0361,-128446.8275,-209.2689
7,1999-12-29,6.3125,6.375,6.125,6.1875,3.094242,477800,48.4703,12.4460,12.4082,-0.3100,33.2707,37.5488,-0.1426,-0.1186,-0.0240,-139402.2356,-9.5238
8,1999-12-30,6.1875,6.21875,6.15625,6.21875,3.109867,264400,50.0571,12.4420,12.4074,-0.0600,40.6892,48.1077,-0.1314,-0.1212,-0.0103,-89147.4266,-45.7423
9,1999-12-31,6.1875,6.375,6.1875,6.34375,3.1723779999999997,151400,56.0931,12.4547,12.4384,0.1900,55.3715,70.0539,-0.1012,-0.1172,0.0159,-44209.7596,99.3204
10,2000-01-03,6.15625,6.15625,5.875,5.96875,2.984848,571200,40.3991,12.4133,12.3741,-0.6200,49.9492,44.5269,-0.1363,-0.1210,-0.0153,-51016.1904,-223.1914
11,2000-01-04,5.90625,6.15625,5.90625,6.125,3.062986,559800,46.9698,12.4007,12.3537,-0.1900,48.6063,47.2635,-0.1374,-0.1243,-0.0131,18522.1052,-126.2809
12,2000-01-05,6.125,6.25,6.0625,6.171875,3.0864279999999997,1541400,48.7281,12.3900,12.3461,-0.1600,50.8690,53.1317,-0.1296,-0.1253,-0.0042,84005.1401,-32.0475
13,2000-01-06,6.125,6.21875,6.125,6.15625,3.0786119999999997,233200,48.1578,12.3853,12.3361,-0.0700,52.7175,54.5659,-0.1243,-0.1251,0.0008,89488.4023,-23.5351
14,2000-01-07,6.1875,6.21875,6.125,6.125,3.062986,532400,46.9797,12.3687,12.3192,-0.2500,56.6669,60.6163,-0.1236,-0.1248,0.0012,-1103.7542,-27.0979
15,2000-01-10,6.15625,6.21875,6.125,6.15625,3.0786119999999997,346800,48.3339,12.3520,12.3118,-0.2500,61.6034,66.5400,-0.1168,-0.1232,0.0064,-58390.6349,-11.5163
16,2000-01-11,6.15625,6.1875,6.09375,6.125,3.062986,363000,47.0464,12.3273,12.2991,-0.3700,55.9894,50.3753,-0.1150,-0.1216,0.0066,-97794.2532,-33.1150
17,2000-01-12,6.125,6.15625,6.0625,6.09375,3.047358,379800,45.7410,12.3067,12.2819,-0.3100,46.0572,36.1251,-0.1170,-0.1207,0.0036,-120924.2463,-60.1322
18,2000-01-13,6.09375,6.15625,6.0,6.125,3.062986,504000,47.3075,12.2900,12.2748,-0.2500,46.2645,46.4717,-0.1125,-0.1190,0.0065,-70249.7079,-61.0995
19,2000-01-14,6.125,6.21875,6.125,6.1875,3.094242,604200,50.6173,12.2860,12.2861,-0.0600,56.3410,66.4176,-0.0973,-0.1147,0.0174,-7719.2415,42.2953
20,2000-01-18,6.25,6.34375,6.1875,6.21875,3.109867,659200,52.1050,12.3073,12.3053,0.3200,60.7170,65.0929,-0.0795,-0.1077,0.0282,-45713.6797,113.0998
21,2000-01-19,6.1875,6.21875,6.09375,6.09375,3.047358,304800,45.9281,12.3073,12.2907,0.0000,53.5158,46.3146,-0.0846,-0.1030,0.0185,-105591.9790,-24.1030
22,2000-01-20,6.15625,6.25,6.09375,6.09375,3.047358,328400,45.9281,12.2947,12.2760,-0.1900,45.2206,36.9254,-0.0876,-0.1000,0.0123,-172733.8307,-5.3144
23,2000-01-21,6.125,6.15625,6.03125,6.0625,3.031732,277200,44.2423,12.2733,12.2542,-0.3200,34.2226,23.2246,-0.0946,-0.0989,0.0043,-207429.8763,-79.1212
